BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
-0.650389707,-0.902085487,-0.906859079,-0.893880872,-0.878845363
-0.650281574,-0.90208283,-0.906830214,-0.893876458,-0.878820625
-0.650250326,-0.902081221,-0.906828443,-0.893866443,-0.878810792
-0.650188281,-0.902076783,-0.906819164,-0.893864638,-0.878795708
-0.649947995,-0.902071538,-0.906806621,-0.893863224,-0.87874509
-0.649779404,-0.902070273,-0.906782483,-0.893858204,-0.878729154
-0.649734004,-0.90206534,-0.906762336,-0.893851791,-0.878723494
-0.649729817,-0.90205104,-0.90676186,-0.893843253,-0.87872332
-0.649718856,-0.9020465,-0.906755884,-0.893828096,-0.878721031
-0.649699338,-0.902044075,-0.906746913,-0.89381372,-0.878720065
-0.649453026,-0.902042692,-0.906745866,-0.893810669,-0.878715656
-0.649243654,-0.902036142,-0.90674487,-0.893802286,-0.878710046
-0.649189343,-0.902033648,-0.906734655,-0.89380219,-0.878704245
-0.649172283,-0.902033325,-0.906732072,-0.893796596,-0.878697453
-0.649150448,-0.902024482,-0.906730336,-0.893789298,-0.878694743
-0.649149758,-0.902024326,-0.906726159,-0.893785263,-0.878693406
-0.648951789,-0.902018131,-0.906722382,-0.893784568,-0.878675502
-0.648906245,-0.902017991,-0.906718129,-0.893783702,-0.878660468
-0.648888688,-0.902014329,-0.90671321,-0.89378238,-0.878658737
-0.648877641,-0.902013782,-0.906712904,-0.893774832,-0.878654728
-0.648849302,-0.902010439,-0.906711091,-0.893771252,-0.878650453
-0.648715697,-0.902008223,-0.906699133,-0.89377101,-0.87864986
-0.648684351,-0.902007868,-0.906696867,-0.893758897,-0.878648798
-0.64865383,-0.902005991,-0.906682147,-0.893749793,-0.878645919
-0.648593378,-0.902003059,-0.90667412,-0.893736793,-0.878638364
-0.648543696,-0.901996741,-0.906672577,-0.893736415,-0.878638204
-0.64846739,-0.901988266,-0.906669676,-0.893735297,-0.878627256
-0.648444731,-0.901986862,-0.906658251,-0.893733992,-0.878619997
-0.648424328,-0.901979778,-0.906655664,-0.89373043,-0.87861405
-0.648142006,-0.901979419,-0.906653634,-0.893730102,-0.878612249
-0.64812521,-0.901979366,-0.90665172,-0.893728485,-0.878589963
-0.648083299,-0.901979133,-0.906650679,-0.893721647,-0.878582362
-0.648061554,-0.901977292,-0.906650397,-0.893711259,-0.878574171
-0.647953215,-0.901975855,-0.906649547,-0.893707927,-0.878567368
-0.647895539,-0.901967406,-0.906642673,-0.893704881,-0.878563026
-0.647890589,-0.901960545,-0.906638498,-0.893700431,-0.87856289
-0.647788645,-0.901960175,-0.906637674,-0.893692068,-0.878558183
-0.647776133,-0.901959247,-0.906635626,-0.893691564,-0.878548274
-0.647755134,-0.901951176,-0.906635482,-0.89368974,-0.878545701
-0.647753357,-0.901949732,-0.90662927,-0.893688549,-0.878545445
-0.647689515,-0.901948859,-0.90662889,-0.893685753,-0.878539377
-0.647667746,-0.901947601,-0.906628119,-0.893679483,-0.878535471
-0.647642674,-0.901912301,-0.906623094,-0.893677397,-0.878534567
-0.647627913,-0.901909929,-0.906622343,-0.893675986,-0.878512675
-0.647600837,-0.901902587,-0.906622269,-0.893675088,-0.878510607
-0.647582437,-0.901900434,-0.906621701,-0.893659609,-0.878500154
-0.647582398,-0.901898937,-0.90661888,-0.893651531,-0.878495373
-0.647581581,-0.90188584,-0.906618498,-0.893642392,-0.878490911
-0.647554252,-0.901883185,-0.906615332,-0.893636388,-0.878490259
-0.647534311,-0.901876641,-0.906612153,-0.893633704,-0.878488125
-0.647512525,-0.901873818,-0.906604145,-0.893632237,-0.878467774
-0.647462117,-0.901873772,-0.906596435,-0.893629744,-0.878463149
-0.647369795,-0.901873365,-0.90659617,-0.893615901,-0.878457792
-0.647234504,-0.901872391,-0.906578388,-0.893612803,-0.878449499
-0.64721581,-0.90187235,-0.906578333,-0.893610212,-0.878449034
-0.647206736,-0.901871026,-0.906574739,-0.893609209,-0.878447725
-0.647067137,-0.90186951,-0.906574011,-0.893607406,-0.878447694
-0.647043934,-0.901869005,-0.906568046,-0.893605409,-0.87844372
-0.646985694,-0.901867257,-0.906566103,-0.893599837,-0.878436735
-0.64696699,-0.901866534,-0.906555214,-0.893596451,-0.878436098
-0.646947105,-0.901863774,-0.90654386,-0.893596076,-0.87843235
-0.646893691,-0.901860772,-0.906532125,-0.893591958,-0.878431619
-0.646867071,-0.901857173,-0.906526578,-0.893591952,-0.878429709
-0.646787331,-0.901857069,-0.906525506,-0.893587484,-0.878428605
-0.646740122,-0.901852515,-0.906522496,-0.893585827,-0.878427813
-0.64673104,-0.901852497,-0.906520521,-0.893582577,-0.878425123
-0.646729651,-0.901846465,-0.906517969,-0.893581557,-0.87840739
-0.646681514,-0.901845379,-0.90651512,-0.8935776,-0.878404154
-0.646680021,-0.901842188,-0.906512593,-0.893576522,-0.878401814
-0.646617444,-0.901840463,-0.906512457,-0.893575359,-0.878396183
-0.646615485,-0.901838374,-0.906510511,-0.893575077,-0.878394918
-0.646498902,-0.901837304,-0.906509912,-0.893573461,-0.878392787
-0.646489346,-0.901830267,-0.906508046,-0.893559517,-0.878391199
-0.646475662,-0.901824335,-0.906506326,-0.893559292,-0.878388984
-0.646411808,-0.901824011,-0.906505392,-0.893547776,-0.87838541
-0.646389632,-0.901823248,-0.906503247,-0.893529989,-0.87837674
-0.646326445,-0.901816184,-0.906502036,-0.893525408,-0.87837015
-0.646313361,-0.901814237,-0.906500945,-0.893518618,-0.878369183
-0.646289283,-0.901808091,-0.906497289,-0.893517448,-0.878368599
-0.646267248,-0.901804829,-0.9064971,-0.893515132,-0.878363869
-0.646260108,-0.901801162,-0.906496621,-0.893514875,-0.878361693
-0.646176622,-0.901800408,-0.906492675,-0.893512134,-0.87836096
-0.646107061,-0.901798989,-0.906481489,-0.893509257,-0.87835579
-0.646042395,-0.901789997,-0.906479972,-0.89350767,-0.878351345
-0.646001402,-0.901785897,-0.906477721,-0.893502825,-0.878349828
-0.645999729,-0.901784175,-0.906477573,-0.8934976,-0.878348159
-0.64596592,-0.901783124,-0.906477182,-0.893497576,-0.878347131
-0.645823266,-0.901779283,-0.90646881,-0.893497232,-0.878345936
-0.645821289,-0.90177894,-0.906468159,-0.893493135,-0.87834444
-0.645778425,-0.901776373,-0.906467745,-0.893491395,-0.878343107
-0.64572396,-0.901772116,-0.906462721,-0.893488954,-0.87832571
-0.64571721,-0.901770688,-0.906459203,-0.893487662,-0.878309703
-0.645702418,-0.90176967,-0.906457824,-0.893487205,-0.878307625
-0.645694345,-0.901766633,-0.906455208,-0.89348306,-0.878302012
-0.645691845,-0.901761441,-0.906445738,-0.893482989,-0.878301766
-0.645683462,-0.90176092,-0.906443882,-0.893480778,-0.878298757
-0.645633999,-0.901760876,-0.906443819,-0.893474987,-0.87829548
-0.64561179,-0.901760852,-0.906439295,-0.89347401,-0.878292983
-0.645465287,-0.901754753,-0.906431055,-0.893473497,-0.878292592
-0.645445367,-0.901753435,-0.906422652,-0.893469057,-0.878286836
-0.645410956,-0.901753066,-0.906416038,-0.893465759,-0.878286105
-0.645400551,-0.901753057,-0.906413843,-0.893464854,-0.878282652
-0.645372123,-0.901749712,-0.906412265,-0.893457826,-0.878281371
-0.645365738,-0.901748998,-0.906403233,-0.893452175,-0.878279188
-0.645243192,-0.901748066,-0.906397748,-0.893446309,-0.878273269
-0.645147161,-0.901745693,-0.906395786,-0.893441449,-0.878271857
-0.645142078,-0.901744899,-0.906395304,-0.89343737,-0.878270052
-0.64513266,-0.901742553,-0.906394944,-0.893436617,-0.878269068
-0.645067482,-0.901738148,-0.906394345,-0.893435668,-0.878268602
-0.644949181,-0.901737893,-0.906389699,-0.893434678,-0.878267234
-0.644917231,-0.901736513,-0.906389293,-0.89343371,-0.878265602
-0.644915208,-0.901736268,-0.906387734,-0.893433367,-0.878262518
-0.644907174,-0.90173339,-0.906386443,-0.893432994,-0.878256191
-0.644893104,-0.901731067,-0.906384804,-0.893432731,-0.878250921
-0.644794327,-0.901729507,-0.906380554,-0.893430395,-0.878249343
-0.644752818,-0.901728889,-0.906378389,-0.89342897,-0.878248201
-0.64474725,-0.901728014,-0.906376433,-0.89342812,-0.87824672
-0.644744734,-0.901721358,-0.906374441,-0.893427714,-0.878245249
-0.644727103,-0.901721208,-0.906373225,-0.893422857,-0.878243294
-0.644671414,-0.901717274,-0.906361469,-0.893421768,-0.878238075
-0.644654568,-0.901716833,-0.906359788,-0.893411653,-0.878238052
-0.644637887,-0.901716584,-0.906358904,-0.893409885,-0.878233809
-0.644582081,-0.901711863,-0.906350187,-0.893409075,-0.878231272
-0.644554217,-0.901710978,-0.906348448,-0.893403853,-0.878219837
-0.644527947,-0.901710448,-0.906347176,-0.893398159,-0.87821585
-0.644514893,-0.901710229,-0.90634577,-0.89339741,-0.878214995
-0.644489261,-0.901708464,-0.906342722,-0.893396955,-0.878210619
-0.644470588,-0.901705799,-0.906341883,-0.893393505,-0.878208096
-0.644461349,-0.901691371,-0.906337908,-0.893390155,-0.878206549
-0.644406834,-0.901690173,-0.906336978,-0.89338941,-0.878205077
-0.644312657,-0.901687784,-0.906334147,-0.893387358,-0.878205002
-0.644285522,-0.901686264,-0.906330152,-0.893386136,-0.878204141
-0.644262521,-0.901679032,-0.906328957,-0.893385898,-0.878203126
-0.644223788,-0.901675688,-0.906326797,-0.89337955,-0.878198254
-0.644215313,-0.901673758,-0.906326155,-0.893375995,-0.878196908
-0.644208946,-0.901671442,-0.906324162,-0.893375071,-0.878192372
-0.644193274,-0.901668675,-0.906324157,-0.893372251,-0.878191994
-0.644179654,-0.901668597,-0.906324047,-0.893368666,-0.878180681
-0.644174706,-0.901664074,-0.906322172,-0.893367666,-0.878173658
-0.644131177,-0.901663301,-0.906318123,-0.893365839,-0.878168334
-0.644102913,-0.901661319,-0.906315022,-0.893364175,-0.878168039
-0.644082443,-0.901658222,-0.906309008,-0.893359117,-0.878161551
-0.643974701,-0.901651618,-0.906308974,-0.893358883,-0.878160078
-0.643968234,-0.901648761,-0.90630894,-0.893354254,-0.878158977
-0.643959479,-0.901648263,-0.90630521,-0.893352153,-0.878157671
-0.643957762,-0.901647808,-0.906299729,-0.893352014,-0.878157023
-0.643954364,-0.901645892,-0.906285783,-0.893351513,-0.878156709
-0.643947036,-0.901644244,-0.906285678,-0.893347469,-0.878154975
-0.64394423,-0.901642526,-0.906282542,-0.893345089,-0.878150957
-0.643936583,-0.901642264,-0.906275505,-0.893340911,-0.878150918
-0.643914531,-0.901642257,-0.906273629,-0.893339227,-0.878149904
-0.643863874,-0.901642171,-0.90627314,-0.893338505,-0.878148872
-0.643859664,-0.901640459,-0.906273127,-0.893337723,-0.878146757
-0.643848923,-0.901640272,-0.906272438,-0.893337523,-0.878143405
-0.643845286,-0.901639948,-0.906263564,-0.893336965,-0.878137304
-0.643842868,-0.901638604,-0.906262917,-0.893331323,-0.878132547
-0.643831859,-0.901638562,-0.9062612,-0.893325392,-0.878131052
-0.643814012,-0.901636857,-0.906257584,-0.893324424,-0.878130449
-0.643746528,-0.901636114,-0.9062566,-0.893322607,-0.878128838
-0.643697186,-0.901634009,-0.906250536,-0.893318986,-0.878127799
-0.643650475,-0.901633598,-0.906248594,-0.893314443,-0.878124375
-0.643650404,-0.901629393,-0.906248321,-0.893314058,-0.878117031
-0.64359781,-0.90162831,-0.90624602,-0.893312435,-0.87811304
-0.643584415,-0.901628154,-0.906245517,-0.893312215,-0.878112449
-0.643568563,-0.901626777,-0.906244521,-0.893311732,-0.878111945
-0.643543583,-0.901625282,-0.906243114,-0.893308911,-0.878111099
-0.643533423,-0.901622488,-0.906240615,-0.893307376,-0.878109435
-0.643458147,-0.901622255,-0.906239236,-0.893306776,-0.878108254
-0.643385423,-0.901621036,-0.90623891,-0.89330532,-0.878107093
-0.64335681,-0.901619924,-0.906237437,-0.893304638,-0.878098457
-0.643351516,-0.901619813,-0.906234464,-0.89330404,-0.878098133
-0.643346149,-0.901619351,-0.906232893,-0.893303696,-0.878096509
-0.643323491,-0.901618821,-0.906232862,-0.893303606,-0.878092751
-0.643303054,-0.901613604,-0.906232387,-0.893300675,-0.878087635
-0.643293564,-0.901613122,-0.906231107,-0.893300239,-0.878086173
-0.643268334,-0.901611472,-0.906231041,-0.893295268,-0.878073116
-0.643251838,-0.901611181,-0.90623067,-0.893293676,-0.878070434
-0.643198245,-0.901609874,-0.906227861,-0.89329066,-0.878065817
-0.643195549,-0.901607694,-0.906225265,-0.893290119,-0.878064586
-0.643187885,-0.901607605,-0.906222243,-0.893289786,-0.878053192
-0.64318146,-0.901607101,-0.906221507,-0.893288174,-0.878047067
-0.643178138,-0.901606126,-0.906220996,-0.893285889,-0.878044296
-0.643139134,-0.901605815,-0.906218015,-0.893284413,-0.878043658
-0.643113628,-0.901602349,-0.906217794,-0.893284143,-0.878042376
-0.643055942,-0.901600841,-0.90621255,-0.893281255,-0.878040162
-0.643039574,-0.901596567,-0.906212276,-0.893278817,-0.878040067
-0.643022423,-0.901594562,-0.906212268,-0.893271022,-0.878038166
-0.643001175,-0.90159428,-0.906207779,-0.893266447,-0.878037257
-0.642992857,-0.901592147,-0.906206625,-0.893263806,-0.878035598
-0.642990679,-0.901590896,-0.906199766,-0.893259757,-0.878032929
-0.642984193,-0.901587563,-0.906197827,-0.893257641,-0.878032842
-0.64292909,-0.901585252,-0.906195367,-0.893256545,-0.878032826
-0.642894013,-0.901584564,-0.90619512,-0.893252403,-0.878032136
-0.642882399,-0.901580361,-0.906194958,-0.893250846,-0.878021888
-0.642875097,-0.901578325,-0.906193836,-0.89324982,-0.878020448
-0.642854704,-0.901576865,-0.90618933,-0.893249039,-0.878016923
-0.642850565,-0.901576631,-0.906187984,-0.893244759,-0.878015837
-0.642847517,-0.901575852,-0.906187831,-0.893243879,-0.878012287
-0.642832825,-0.90157362,-0.906184881,-0.893243397,-0.878007317
-0.642816875,-0.901571973,-0.906182907,-0.893240676,-0.878002587
-0.64280739,-0.901571925,-0.906181254,-0.893239044,-0.877999736
-0.642795834,-0.901570532,-0.906176738,-0.893238818,-0.877998798
-0.64278988,-0.901570513,-0.906175701,-0.8932383,-0.877998472
-0.642758257,-0.901570215,-0.906173447,-0.89323773,-0.877995063
-0.642730415,-0.901569603,-0.906173266,-0.893225534,-0.877992166
-0.642656737,-0.901566405,-0.90616808,-0.893224962,-0.87798863
-0.642656002,-0.901566101,-0.906165778,-0.893224814,-0.877986321
-0.64265032,-0.901565784,-0.906164633,-0.893222976,-0.877979396
-0.642647397,-0.901564461,-0.906164521,-0.893218297,-0.877979037
-0.642639208,-0.901563794,-0.906161732,-0.893218075,-0.877976452
-0.642593921,-0.901561754,-0.906161605,-0.893217267,-0.877976266
-0.642591047,-0.901560925,-0.906161182,-0.893214943,-0.877975451
-0.6425514,-0.901560048,-0.906157757,-0.893213902,-0.877973236
-0.642535351,-0.90155791,-0.906157354,-0.893213886,-0.877972971
-0.64247696,-0.901556236,-0.906157025,-0.893212643,-0.877969791
-0.642444392,-0.901555197,-0.906154833,-0.893211593,-0.87796583
-0.642405246,-0.901551358,-0.906152138,-0.89321145,-0.877963396
-0.642401887,-0.901550228,-0.906152051,-0.893211345,-0.877961888
-0.642347964,-0.901548826,-0.906151685,-0.893208455,-0.877961879
-0.642332536,-0.901547678,-0.906151316,-0.893208011,-0.877959885
-0.642323819,-0.90154727,-0.906149783,-0.893206295,-0.877958752
-0.642322506,-0.901547228,-0.90614866,-0.893203776,-0.877955998
-0.642310711,-0.901547226,-0.906146299,-0.893202744,-0.877954075
-0.642305211,-0.901544656,-0.906145818,-0.89320247,-0.877951468
-0.642293384,-0.901544001,-0.906145814,-0.893200885,-0.877947283
-0.642292349,-0.90154261,-0.906143047,-0.893200402,-0.877941545
-0.642289455,-0.901542366,-0.906141289,-0.893199177,-0.877941514
-0.64227539,-0.901539538,-0.906141041,-0.893198661,-0.877940983
-0.642205423,-0.901538815,-0.906140838,-0.893197793,-0.877935815
-0.642197947,-0.901537991,-0.906139841,-0.893194624,-0.877934556
-0.642193225,-0.901537298,-0.906138917,-0.893194472,-0.877934278
-0.642168119,-0.901537177,-0.906129696,-0.893190349,-0.877930545
-0.642158587,-0.901534067,-0.906126687,-0.893188139,-0.877929242
-0.64215153,-0.901533991,-0.90612388,-0.893184033,-0.877928614
-0.642136201,-0.901532604,-0.906122846,-0.89318386,-0.877925853
-0.642129841,-0.901529229,-0.906122532,-0.893183737,-0.877923021
-0.642119434,-0.901528407,-0.906122359,-0.893182457,-0.877922361
-0.642107048,-0.901526993,-0.906120936,-0.893181898,-0.877915921
-0.642104685,-0.901526532,-0.906118491,-0.89318159,-0.877913271
-0.642094347,-0.901526369,-0.906116742,-0.893181519,-0.877912884
-0.642039288,-0.90152399,-0.906116537,-0.893178076,-0.877911975
-0.642035371,-0.901522623,-0.906115938,-0.893177638,-0.877910525
-0.642033901,-0.901521808,-0.906115192,-0.893177159,-0.877909303
-0.641992563,-0.901517668,-0.906114408,-0.893176918,-0.87790869
-0.641984027,-0.901517433,-0.906113026,-0.893175061,-0.877907841
-0.641983726,-0.901515933,-0.906111729,-0.893174474,-0.877905179
-0.641981258,-0.901513527,-0.906108967,-0.893172676,-0.877903584
-0.641972494,-0.901512765,-0.906106444,-0.893171625,-0.877902501
-0.641969085,-0.901512152,-0.906106275,-0.893168927,-0.877901144
-0.641954879,-0.901511772,-0.906105691,-0.893168571,-0.877893235
-0.641926057,-0.901508516,-0.906103513,-0.893168119,-0.877892128
-0.641912019,-0.901507275,-0.906098148,-0.89316781,-0.877891426
-0.641910589,-0.901505151,-0.906098032,-0.89316752,-0.8778907
-0.641907626,-0.901504659,-0.906097952,-0.893167245,-0.877889603
-0.641902706,-0.901504279,-0.906094913,-0.893167028,-0.877889162
-0.641887385,-0.90150388,-0.906092746,-0.893164494,-0.877886201
-0.64187516,-0.901503305,-0.906092448,-0.893164312,-0.877885026
-0.641871584,-0.901502646,-0.906091059,-0.893163266,-0.877883747
-0.641843755,-0.901502204,-0.906090041,-0.893162645,-0.877883728
-0.641841541,-0.901501931,-0.90608995,-0.893161258,-0.877881213
-0.641839015,-0.901501677,-0.906088833,-0.893160243,-0.877878157
-0.641829195,-0.901500999,-0.906088102,-0.893158544,-0.877877526
-0.641825662,-0.901499438,-0.906083516,-0.89315751,-0.877876993
-0.641804252,-0.901498151,-0.906081724,-0.893157072,-0.877876849
-0.641787226,-0.901496533,-0.906081453,-0.893156953,-0.877876482
-0.641770353,-0.901493138,-0.906080294,-0.893155764,-0.877876325
-0.641762517,-0.901492826,-0.906079405,-0.893154125,-0.877875617
-0.641755865,-0.90149222,-0.90607881,-0.893153946,-0.877875456
-0.641735884,-0.901489733,-0.906077833,-0.893152755,-0.877874257
-0.641702759,-0.901488429,-0.906076768,-0.89315224,-0.877872763
-0.641702327,-0.901488296,-0.906076204,-0.893151914,-0.877871612
-0.641692812,-0.901487885,-0.906073244,-0.893150229,-0.877870969
-0.641682329,-0.901487529,-0.906073015,-0.893149859,-0.877870531
-0.641678375,-0.901486603,-0.906072101,-0.893149417,-0.87786975
-0.641657763,-0.901485382,-0.906071739,-0.893148849,-0.877867042
-0.641651571,-0.901484485,-0.906071117,-0.893148742,-0.877867033
-0.641640307,-0.901484395,-0.906070489,-0.893147004,-0.877866103
-0.641603619,-0.901481511,-0.906069402,-0.893146665,-0.877865163
-0.641579949,-0.901481359,-0.906069033,-0.893144445,-0.877861054
-0.641577825,-0.90148108,-0.906068346,-0.893142055,-0.877859057
-0.641562703,-0.901480517,-0.906064503,-0.893141681,-0.877858422
-0.641549267,-0.901479772,-0.906063632,-0.893139486,-0.877857009
-0.641536138,-0.901478446,-0.906062506,-0.893139284,-0.877854116
-0.641507893,-0.901478167,-0.906060927,-0.893137475,-0.877853929
-0.641503846,-0.901477209,-0.906060887,-0.893137115,-0.877853785
-0.641487321,-0.901476867,-0.906060146,-0.893132259,-0.877851379
-0.641478078,-0.901476851,-0.90605906,-0.89313205,-0.877848784
-0.641462465,-0.901475711,-0.90605751,-0.893131494,-0.877846153
-0.641454611,-0.901474981,-0.906057465,-0.893128253,-0.877844207
-0.641442966,-0.90147449,-0.906057294,-0.893126924,-0.877842045
-0.641431517,-0.901474224,-0.906056343,-0.893125406,-0.877840667
-0.641427207,-0.901473865,-0.906055695,-0.893122507,-0.877839445
-0.641426377,-0.90147198,-0.906054325,-0.893121362,-0.877839368
-0.641380348,-0.901470241,-0.906054257,-0.893119761,-0.877838421
-0.641379284,-0.901469157,-0.906053822,-0.893118438,-0.877836094
-0.641353111,-0.901469098,-0.906047625,-0.893115405,-0.877834037
-0.641347109,-0.901468735,-0.906047575,-0.893114432,-0.877833176
-0.641308435,-0.901466384,-0.906047008,-0.893113975,-0.877833032
-0.641280438,-0.901465947,-0.906046159,-0.893113758,-0.877827441
-0.641273533,-0.901460594,-0.90604474,-0.893112063,-0.87782744
-0.641271508,-0.90145802,-0.90604313,-0.893109776,-0.877826494
-0.641251609,-0.901458002,-0.906042529,-0.893109127,-0.877826407
-0.641235061,-0.901456266,-0.906041711,-0.893103822,-0.877826176
-0.641232998,-0.90145576,-0.906040936,-0.893098538,-0.877825902
-0.641226195,-0.901454743,-0.906040867,-0.893097447,-0.877825221
-0.641224896,-0.901454235,-0.906040384,-0.893096795,-0.877819446
-0.641214121,-0.901453866,-0.906037569,-0.893095268,-0.877818947
-0.64119541,-0.901452365,-0.906036467,-0.893093931,-0.877818936
-0.641155276,-0.901452039,-0.906036423,-0.893093922,-0.877813603
-0.641153785,-0.901450556,-0.906036373,-0.893091452,-0.877806067
-0.641134775,-0.901449938,-0.906036032,-0.893090786,-0.877805211
-0.641115032,-0.901449471,-0.906035409,-0.893090276,-0.877804314
-0.641102369,-0.901447983,-0.906035127,-0.893089592,-0.877804068
-0.641096838,-0.901447813,-0.906031615,-0.893088454,-0.877803811
-0.641085289,-0.901446575,-0.906031509,-0.89308751,-0.877802511
-0.641078293,-0.901444366,-0.90602923,-0.893083698,-0.877801742
-0.641062282,-0.901443416,-0.906029052,-0.893080458,-0.877798614
-0.641036748,-0.901441684,-0.906028649,-0.893079559,-0.87779824
-0.641034251,-0.901441453,-0.906027173,-0.893079371,-0.877798181
-0.641032029,-0.901439168,-0.906025825,-0.893077446,-0.877798049
-0.641030108,-0.901437046,-0.906025387,-0.893076603,-0.877793751
-0.641019469,-0.901434927,-0.906024329,-0.893074083,-0.877793479
-0.641017202,-0.901434195,-0.90602399,-0.893071809,-0.877793301
-0.64100694,-0.901433132,-0.906023835,-0.893071082,-0.877791944
-0.6409993,-0.901431265,-0.906023742,-0.893070028,-0.87779177
-0.640987563,-0.901429958,-0.906021541,-0.893070003,-0.877790844
-0.640986747,-0.901426658,-0.906020956,-0.893066892,-0.877787034
-0.640972232,-0.901425577,-0.906019336,-0.893066107,-0.877786655
-0.640971887,-0.901424377,-0.906016723,-0.893062489,-0.877786228
-0.640959247,-0.901424334,-0.906015928,-0.893060757,-0.877785328
-0.640955762,-0.901422615,-0.906013178,-0.89306045,-0.877782616
-0.640952939,-0.901419074,-0.906012629,-0.89305973,-0.877780753
-0.640938619,-0.901418749,-0.90601224,-0.893059286,-0.87777691
-0.640935493,-0.901418621,-0.906011957,-0.893058831,-0.877773447
-0.640934191,-0.901417456,-0.906011953,-0.893058143,-0.877773326
-0.640929762,-0.901416692,-0.906011372,-0.893057975,-0.877772752
-0.640927616,-0.901415603,-0.906008992,-0.893056144,-0.87777266
-0.640914712,-0.901415334,-0.906008259,-0.893054426,-0.877772506
-0.640909244,-0.901414716,-0.906008081,-0.893053407,-0.877771362
-0.640908171,-0.901413857,-0.90600727,-0.893049836,-0.877767948
-0.640865647,-0.901413386,-0.906006479,-0.893049364,-0.877764648
-0.640862676,-0.90141301,-0.906003901,-0.89304823,-0.877763528
-0.640861286,-0.901411881,-0.905999906,-0.893046233,-0.877763377
-0.640842524,-0.901410679,-0.905998703,-0.89304588,-0.877762986
-0.640842251,-0.90141046,-0.90599793,-0.893041808,-0.877762711
-0.640841201,-0.901408398,-0.905997575,-0.89303991,-0.877761025
-0.640838783,-0.901407533,-0.905996146,-0.893039016,-0.877755651
-0.640830696,-0.901407221,-0.905994622,-0.893038561,-0.877754824
-0.640825059,-0.901405947,-0.905994196,-0.89303785,-0.877754675
-0.640793192,-0.901405098,-0.905992573,-0.893037581,-0.877753563
-0.640789776,-0.901404615,-0.905992044,-0.89303746,-0.877752893
-0.640788937,-0.901404268,-0.905989209,-0.893037144,-0.877748371
-0.640788751,-0.901403547,-0.905986724,-0.893036002,-0.877748317
-0.640786382,-0.901402867,-0.90598451,-0.893035414,-0.877746401
-0.640785264,-0.901402536,-0.905983996,-0.893032299,-0.877746247
-0.640774915,-0.901400389,-0.905982399,-0.893030397,-0.877739852
-0.64075623,-0.901397301,-0.90598208,-0.893030395,-0.877739841
-0.640729826,-0.901397192,-0.905981637,-0.893028986,-0.877738749
-0.640727116,-0.901395092,-0.905979647,-0.893028877,-0.877736816
-0.640700585,-0.901394982,-0.90597871,-0.893027236,-0.877736301
-0.640681452,-0.901393655,-0.905978649,-0.893026381,-0.877736299
-0.640667805,-0.901393259,-0.905977104,-0.893026107,-0.877735352
-0.640661694,-0.901391125,-0.905974981,-0.893025867,-0.877734939
-0.640653865,-0.901390873,-0.905974427,-0.893025646,-0.877734499
